L1,L2,L3,L2_path,L3_path,size,label,top_terms
1,4,2,1.4,1.4.2,15,"auction, mechanism, advertisers, allocative, efficiency, frictions","auction, mechanism, advertisers, allocative, efficiency, frictions, allocative efficiency, bids, sellers, keyword"
1,4,3,1.4,1.4.3,11,"combinatorial, auctions, combinatorial auctions, bidders, bids, bid","combinatorial, auctions, combinatorial auctions, bidders, bids, bid, bidder, prices, rules, auction"
1,5,0,1.5,1.5.0,489,"research, information, work, theory, health, paper","research, information, work, theory, health, paper, technology, knowledge, jatsp, use"
1,5,1,1.5,1.5.1,45,"ai, human, intelligence, artificial intelligence, artificial, intelligence ai","ai, human, intelligence, artificial intelligence, artificial, intelligence ai, humans, jatsp, genai, labor"
1,5,2,1.5,1.5.2,161,"crowdfunding, platforms, platform, jatsp, online, campaign","crowdfunding, platforms, platform, jatsp, online, campaign, funding, backers, engagement, project"
1,5,3,1.5,1.5.3,94,"digital, platforms, et, et al, al, transformation","digital, platforms, et, et al, al, transformation, digital transformation, digital platforms, social, platform"
2,0,0,2.0,2.0.0,71,"research, organizational, information, process, theory, technology","research, organizational, information, process, theory, technology, systems, use, privacy, change"
2,0,1,2.0,2.0.1,14,"adoption, technology, stage, egovernment, technology adoption, mandatory","adoption, technology, stage, egovernment, technology adoption, mandatory, citizen, citizens, stages, factors"
2,0,2,2.0,2.0.2,13,"innovation, assimilation, innovation assimilation, stages, innovations, assimilation stages","innovation, assimilation, innovation assimilation, stages, innovations, assimilation stages, aggregated, implemented, organizational, procurement"
2,0,3,2.0,2.0.3,16,"satisfaction, characteristics, success, user, adoption, disconfirmation","satisfaction, characteristics, success, user, adoption, disconfirmation, model, enduser satisfaction, isit, factors"
2,1,0,2.1,2.1.0,11,"trust, online, web, ecommerce, quality, repurchase","trust, online, web, ecommerce, quality, repurchase, intention, culture, affect trust, web site"
2,1,1,2.1,2.1.1,6,"sellers, trust, online marketplaces, buyers, marketplaces, online","sellers, trust, online marketplaces, buyers, marketplaces, online, community sellers, perceived, community, sellers trust"
2,1,2,2.1,2.1.2,5,"trusting, beliefs, trusting beliefs, ras, consumers, recommendation agents","trusting, beliefs, trusting beliefs, ras, consumers, recommendation agents, online recommendation, explanations, recommendation, benevolence"
2,1,3,2.1,2.1.3,3,"emarketplace, buyers, sellers, emarketplaces, participation, value","emarketplace, buyers, sellers, emarketplaces, participation, value, exchanges, buying, reacting, transaction"
2,2,0,2.2,2.2.0,31,"acceptance, technology, technology acceptance, model, behavior, research","acceptance, technology, technology acceptance, model, behavior, research, models, theory planned, planned behavior, intention"
2,2,1,2.2,2.2.1,9,"climate, subjective norm, team, users, affects, norm","climate, subjective norm, team, users, affects, norm, subjective, use, performance expectancy, normative beliefs"
2,2,2,2.2,2.2.2,2,"stock, trading, deployment, behaviour, adoption, user acceptance","stock, trading, deployment, behaviour, adoption, user acceptance, subsequently, users, perceptions, acceptance"
2,2,3,2.2,2.2.3,15,"ease use, perceived, ease, usefulness, usage, use","ease use, perceived, ease, usefulness, usage, use, perceived ease, perceived usefulness, tam, use usefulness"
2,3,0,2.3,2.3.0,7,"erp, erp implementation, implementation, planning erp, enterprise resource, resource planning","erp, erp implementation, implementation, planning erp, enterprise resource, resource planning, erp systems, resource, enterprise, planning"
2,3,1,2.3,2.3.1,2,"sisp, problems, planners, organization, implementation problems, plan","sisp, problems, planners, organization, implementation problems, plan, prescriptions, computerbased applications, implementation, hardware"
2,3,2,2.3,2.3.2,3,"erp, erp systems, business benefits, packaged software, packaged, cocreation","erp, erp systems, business benefits, packaged software, packaged, cocreation, benefits erp, understanding organizations, value cocreation, organizations"
2,3,3,2.3,2.3.3,3,"implementation, knowhow, success, network, adoption, units","implementation, knowhow, success, network, adoption, units, implementation enterprise, unit, network structures, level analysis"
2,4,0,2.4,2.4.0,19,"knowledge, km, knowledge sharing, shared knowledge, knowledge management, sharing","knowledge, km, knowledge sharing, shared knowledge, knowledge management, sharing, organizational, management, competence, professionals"
2,4,1,2.4,2.4.1,15,"project, development, projects, alignment, user, partnering","project, development, projects, alignment, user, partnering, floss, management, project team, organizational"
2,4,2,2.4,2.4.2,10,"teams, team, tms, virtual, distributed, guard","teams, team, tms, virtual, distributed, guard, climate, team members, distributed teams, knowledge"
2,4,3,2.4,2.4.3,5,"control, isd, controller, controls, project, control style","control, isd, controller, controls, project, control style, projects, control modes, isd projects, reengineering"
2,5,0,2.5,2.5.0,20,"capabilities, firm, performance, capability, firms, ecommerce","capabilities, firm, performance, capability, firms, ecommerce, firm performance, business, resources, core competencies"
2,5,1,2.5,2.5.1,11,"alignment, business, social capital, strategic, businessit, capital","alignment, business, social capital, strategic, businessit, capital, strategic alignment, social, value, executives"
2,5,2,2.5,2.5.2,17,"planning, performance, instrument, information, organizational, strategic","planning, performance, instrument, information, organizational, strategic, organizational performance, information processing, effectiveness, organizations"
2,5,3,2.5,2.5.3,8,"competitive, ess, competitive advantage, advantage, mental, competitive performance","competitive, ess, competitive advantage, advantage, mental, competitive performance, sustainability, learning, mental models, capabilities"
3,0,0,3.0,3.0.0,79,"research, systems, information systems, researchers, information, method","research, systems, information systems, researchers, information, method, paper, historical, methods, field"
3,0,1,3.0,3.0.1,47,"design, theory, design theory, knowledge, theories, theorizing","design, theory, design theory, knowledge, theories, theorizing, design knowledge, framework, design theories, dsr"
3,0,2,3.0,3.0.2,81,"organizational, information, case, case study, framework, study","organizational, information, case, case study, framework, study, change, organizations, implementation, paper"
3,0,3,3.0,3.0.3,6,"outsourcing, study research, case, longitudinal indepth, systematically different, analysis actual","outsourcing, study research, case, longitudinal indepth, systematically different, analysis actual, theories findings, systematic analysis, organizational theories, short long"
3,1,0,3.1,3.1.0,16,"virtual, teams, virtual teams, worlds, virtual worlds, trust","virtual, teams, virtual teams, worlds, virtual worlds, trust, virtual team, research virtual, research, collaborative"
3,1,1,3.1,3.1.1,21,"gss, group, support, groups, group support, task","gss, group, support, groups, group support, task, process, gss research, facilitation, facilitators"
3,1,2,3.1,3.1.2,35,"communication, social, media, knowledge, social media, network","communication, social, media, knowledge, social media, network, sharing, groups, knowledge sharing, group"
3,1,3,3.1,3.1.3,23,"team, teams, members, team performance, performance, trust","team, teams, members, team performance, performance, trust, capital, team members, technology, relationship"
3,2,0,3.2,3.2.0,108,"firms, firm, performance, business, supply, capability","firms, firm, performance, business, supply, capability, chain, supply chain, information, industry"
3,2,1,3.2,3.2.1,13,"alignment, business, strategic, strategy, strategic alignment, agility","alignment, business, strategic, strategy, strategic alignment, agility, alignment research, research alignment, business alignment, business strategy"
3,2,2,3.2,3.2.2,40,"governance, outsourcing, relational, contractual, bpo, ito","governance, outsourcing, relational, contractual, bpo, ito, contract, client, relational governance, mechanisms"
3,2,3,3.2,3.2.3,52,"innovation, platform, ecosystem, digital, service, ecosystems","innovation, platform, ecosystem, digital, service, ecosystems, governance, organizational, resources, adoption"
3,3,0,3.3,3.3.0,25,"project, projects, risk, project risk, project performance, mindset","project, projects, risk, project risk, project performance, mindset, team, project managers, teams, pi"
3,3,1,3.3,3.3.1,20,"systems development, development, methodologies, isd, systems, metaphors","systems development, development, methodologies, isd, systems, metaphors, development methodologies, development isd, practice, information systems"
3,3,2,3.3,3.3.2,20,"control, project, offshoring, clan, controls, isd","control, project, offshoring, clan, controls, isd, projects, control exercised, vendor, client"
3,3,3,3.3,3.3.3,25,"software, development, software development, requirements, qa, projects","software, development, software development, requirements, qa, projects, practices, oss, size, process"
3,4,0,3.4,3.4.0,26,"job, job outcomes, employees, kms, job performance, outcomes","job, job outcomes, employees, kms, job performance, outcomes, work, job satisfaction, use, es"
3,4,1,3.4,3.4.1,85,"online, privacy, consumers, product, consumer, trust","online, privacy, consumers, product, consumer, trust, reviews, information, perceived, community"
3,4,2,3.4,3.4.2,32,"user, participation, user participation, satisfaction, user satisfaction, users","user, participation, user participation, satisfaction, user satisfaction, users, complexity, relationship, factors, resistance"
3,4,3,3.4,3.4.3,125,"use, technology, model, tam, users, acceptance","use, technology, model, tam, users, acceptance, adoption, usage, perceived, security"
3,5,0,3.5,3.5.0,16,"university, professor, systems, management, journal, information","university, professor, systems, management, journal, information, mis, information systems, management information, research"
3,5,1,3.5,3.5.1,7,"mis, uis, user involvement, user, involvement, varies","mis, uis, user involvement, user, involvement, varies, users, involvement user, information satisfaction, organizational"
3,5,2,3.5,3.5.2,50,"systems, information, information systems, management, managers, executives","systems, information, information systems, management, managers, executives, strategic, computerbased information, research, expert"
3,5,3,3.5,3.5.3,6,"success, delone, mclean, delone mclean, model, ic","success, delone, mclean, delone mclean, model, ic, plan, corporate, success model, discuss"
4,0,0,4.0,4.0.0,269,"systems, information, development, information systems, design, approach","systems, information, development, information systems, design, approach, requirements, paper, article, methodologies"
4,0,1,4.0,4.0.1,51,"software, development, software development, engineering, software engineering, engineers","software, development, software development, engineering, software engineering, engineers, software engineers, industry, software industry, tools"
4,0,2,4.0,4.0.2,267,"business, technology, jatsp, management, case, information","business, technology, jatsp, management, case, information, paper, implementation, information technology, organizational"
4,0,3,4.0,4.0.3,16,"tutoring, intelligent tutoring, intelligent, gaming, tutoring systems, teaching","tutoring, intelligent tutoring, intelligent, gaming, tutoring systems, teaching, strategies, students, simulation, student"
4,1,0,4.1,4.1.0,14,"jatspno abstract, jatspno, available articlejatsp, articlejatsp, abstract available, abstract","jatspno abstract, jatspno, available articlejatsp, articlejatsp, abstract available, abstract, available, 110, yuan, 000"
4,1,1,4.1,4.1.1,0,"jatspno abstract, jatspno, available articlejatsp, articlejatsp, abstract available, available","jatspno abstract, jatspno, available articlejatsp, articlejatsp, abstract available, available, abstract, 110, yuan, 000"
4,2,0,4.2,4.2.0,31,"university, professor, management, systems, information, school","university, professor, management, systems, information, school, information systems, jatspjatsp, phd, journal"
4,2,1,4.2,4.2.1,22,"vol, pp, systems vol, journal management, journal, management information","vol, pp, systems vol, journal management, journal, management information, special section, special, systems, section"
4,2,2,4.2,4.2.2,12,"university, university arizona, arizona, professor, collaboration, received","university, university arizona, arizona, professor, collaboration, received, engineering, center management, bs, briggs"
4,2,3,4.2,4.2.3,9,"clemons, information, schools, wharton, school, dr","clemons, information, schools, wharton, school, dr, dr clemons, university, competitive, securities markets"
4,3,0,4.3,4.3.0,89,"authors, research, isj, paper, papers, virtual","authors, research, isj, paper, papers, virtual, knowledge, development, systems, project"
4,3,1,4.3,4.3.1,9,"des, la, dans, le, les, et","des, la, dans, le, les, et, linformation, en, du, technologies"
4,3,2,4.3,4.3.2,43,"issue, special, special issue, journal, articles, issues","issue, special, special issue, journal, articles, issues, papers, information systems, isj, systems"
4,3,3,4.3,4.3.3,52,"authors, reviewers, review, journal, journals, editors","authors, reviewers, review, journal, journals, editors, ae, editorial, editor, review process"
4,4,0,4.4,4.4.0,273,"digital, performance, firms, use, research, security","digital, performance, firms, use, research, security, theory, study, firm, ai"
4,4,1,4.4,4.4.1,86,"social, media, social media, content, users, news","social, media, social media, content, users, news, engagement, features, customers, media platforms"
4,4,2,4.4,4.4.2,209,"platform, online, product, consumers, market, sellers","platform, online, product, consumers, market, sellers, reviews, platforms, content, products"
4,4,3,4.4,4.4.3,130,"data, privacy, sharing, breaches, method, breach","data, privacy, sharing, breaches, method, breach, medical, risk, analytics, methods"
4,5,0,4.5,4.5.0,8,"reviewers, role ensuring, manuscripts reviewed, energy expertise, devoted time, jatsp like","reviewers, role ensuring, manuscripts reviewed, energy expertise, devoted time, jatsp like, reviewers devoted, reviewers manuscripts, journal following, individuals served"
4,5,1,4.5,4.5.1,5,"editorial transitions, jatsp performance, performance journal, journal reviewed, addition key, highlighted jatsp","editorial transitions, jatsp performance, performance journal, journal reviewed, addition key, highlighted jatsp, transitions, reviewed, highlighted, metrics"
4,5,2,4.5,4.5.2,11,"jatsp, editorial board, board, abstract, editorial, submission","jatsp, editorial board, board, abstract, editorial, submission, month, jatsp new, appointments, issue"
4,5,3,4.5,4.5.3,4,"reviewers, acted, thank, calendar, counsel, alok","reviewers, acted, thank, calendar, counsel, alok, alok gupta, like thank, thank reviewers, editorinchief information"
5,0,0,5.0,5.0.0,202,"systems, development, research, information systems, information, systems development","systems, development, research, information systems, information, systems development, requirements, design, paper, methodology"
5,0,1,5.0,5.0.1,98,"management, information, university, mis, systems, information systems","management, information, university, mis, systems, information systems, journal, management information, enduser, computing"
5,0,2,5.0,5.0.2,12,"eis, executive, executive information, business strategy, information, executives","eis, executive, executive information, business strategy, information, executives, factors, organizations, success, business"
5,0,3,5.0,5.0.3,36,"evaluation, techniques, appraisal, investments, isit, techniques used","evaluation, techniques, appraisal, investments, isit, techniques used, investment appraisal, issues, investment, appraise"
5,1,0,5.1,5.1.0,176,"firms, firm, information, business, technology, value","firms, firm, information, business, technology, value, market, investments, industry, jatsp"
5,1,1,5.1,5.1.1,27,"outsourcing, contracts, transaction, contract, vendors, vendor","outsourcing, contracts, transaction, contract, vendors, vendor, risks, managers, transaction cost, outsourcing contracts"
5,1,2,5.1,5.1.2,45,"reviews, review, consumers, product, online, consumer","reviews, review, consumers, product, online, consumer, rating, ratings, online review, platforms"
5,1,3,5.1,5.1.3,77,"platform, app, sellers, mobile, platforms, jatsp","platform, app, sellers, mobile, platforms, jatsp, network, network effects, apps, developers"
5,2,0,5.2,5.2.0,18,"privacy, information privacy, information, personal, privacy protection, consumers","privacy, information privacy, information, personal, privacy protection, consumers, privacy concerns, online, individuals, privacy decisions"
5,2,1,5.2,5.2.1,3,"privacy, neural, privacy calculus, help people, calculus, people","privacy, neural, privacy calculus, help people, calculus, people, privacy paradox, interventions help, privacy preferences, private information"
5,2,2,5.2,5.2.2,7,"disclosure, attacks, vulnerabilities, scored, individuals, change","disclosure, attacks, vulnerabilities, scored, individuals, change, disclosing, algorithmic, policy change, privacy"
5,2,3,5.2,5.2.3,2,"protection, data protection, corporate data, corporate, privacy protection, data","protection, data protection, corporate data, corporate, privacy protection, data, subcategories, causal mechanisms, prevailing, taxonomy"
5,3,0,5.3,5.3.0,18,"dss, systems dss, decision, support, decision support, support systems","dss, systems dss, decision, support, decision support, support systems, dss research, use dss, design, dss development"
5,3,1,5.3,5.3.1,10,"decision, decision making, making, variables, latency, information","decision, decision making, making, variables, latency, information, selfcontrol, creative, decision maker, maker"
5,3,2,5.3,5.3.2,8,"gdss, group, support, group decision, facilitation, decision","gdss, group, support, group decision, facilitation, decision, facilitative, model management, systems gdss, technology"
5,3,3,5.3,5.3.3,9,"decision support, decision, support, electric, pollution, support systems","decision support, decision, support, electric, pollution, support systems, repurposing, systems, expert, expert systems"
5,4,0,5.4,5.4.0,42,"digital, platforms, digital platforms, innovation, technologies, digital technologies","digital, platforms, digital platforms, innovation, technologies, digital technologies, platform, digital platform, research, social"
5,4,1,5.4,5.4.1,14,"transformation, digital transformation, digital, digital technologies, frontier, workplace","transformation, digital transformation, digital, digital technologies, frontier, workplace, technologies, digital workplace, regulation, discourse"
5,4,2,5.4,5.4.2,3,"trace data, digital trace, trace, digital, data, explanations","trace data, digital trace, trace, digital, data, explanations, network analysis, situated, workers, analysis methods"
5,4,3,5.4,5.4.3,29,"identity, organisations, dt, organisational, social, research","identity, organisations, dt, organisational, social, research, dsi, sustainability, data, new"
5,5,0,5.5,5.5.0,44,"knowledge, knowledge management, learning, domain, problemsolving, sharing","knowledge, knowledge management, learning, domain, problemsolving, sharing, organizational, roles, knowledge sharing, domain knowledge"
5,5,1,5.5,5.5.1,35,"team, virtual, teams, virtual team, members, team members","team, virtual, teams, virtual team, members, team members, communication, efficacy, virtual teams, virtual communities"
5,5,2,5.5,5.5.2,54,"software, oss, project, projects, development, developers","software, oss, project, projects, development, developers, software development, oss projects, source, learning"
5,5,3,5.5,5.5.3,189,"social, groups, online, group, work, users","social, groups, online, group, work, users, community, ideas, study, design"
6,0,0,6.0,6.0.0,16,"coordination, project, software, performance, projects, risk","coordination, project, software, performance, projects, risk, control, contingency, software development, horizontal"
6,0,1,6.0,6.0.1,18,"knowledge, knowledge management, knowledge creation, management, creation, transfer","knowledge, knowledge management, knowledge creation, management, creation, transfer, brokering, process, km, knowledge transfer"
6,0,2,6.0,6.0.2,13,"team, isd, teams, project, team performance, team level","team, isd, teams, project, team performance, team level, performance, team members, communication, teamwork"
6,0,3,6.0,6.0.3,4,"absorptive capacity, absorptive, capacity, learning, organizational learning, use","absorptive capacity, absorptive, capacity, learning, organizational learning, use, financial performance, performance, collaborative technologies, knowledge transfer"
6,1,0,6.1,6.1.0,22,"perceived, usefulness, perceived usefulness, beliefs, ease use, enjoyment","perceived, usefulness, perceived usefulness, beliefs, ease use, enjoyment, ease, perceived enjoyment, acceptance, perceived ease"
6,1,1,6.1,6.1.1,18,"trust, service, online, service quality, commerce, delivery","trust, service, online, service quality, commerce, delivery, customers, services provider, sellers, customer"
6,1,2,6.1,6.1.2,22,"usage, mds, perceptions, adoption usage, lean, adoption","usage, mds, perceptions, adoption usage, lean, adoption, users, commitment, innovate, model"
6,1,3,6.1,6.1.3,18,"web, site, usability, web site, metric, instrument","web, site, usability, web site, metric, instrument, delay, web sites, consumer, sites"
6,2,0,6.2,6.2.0,26,"firms, innovation, investment, innovations, firm, value","firms, innovation, investment, innovations, firm, value, itenabled, business, competitive, investments"
6,2,1,6.2,6.2.1,18,"alignment, strategic, strategic alignment, business, governance, strategy","alignment, strategic, strategic alignment, business, governance, strategy, alignment business, business strategy, governance mechanisms, mechanisms"
6,2,2,6.2,6.2.2,7,"agility, organizational agility, ambidexterity, organizational, competencies, dynamism","agility, organizational agility, ambidexterity, organizational, competencies, dynamism, capability, capabilities, environmental dynamism, firm"
6,2,3,6.2,6.2.3,22,"capabilities, capability, dynamic capabilities, digital, dynamic, firm","capabilities, capability, dynamic capabilities, digital, dynamic, firm, customer, performance, management, ito"
6,3,0,6.3,6.3.0,9,"erp, erp systems, risk, smes, erp implementation, planning erp","erp, erp systems, risk, smes, erp implementation, planning erp, implementation, enterprise resource, resource planning, enterprise"
6,3,1,6.3,6.3.1,2,"fit, misfit, misfits, es, artifact, enterprise","fit, misfit, misfits, es, artifact, enterprise, types, concept fit, enablement, new conceptualization"
6,3,2,6.3,6.3.2,2,"participation, user participation, user, garnering, postimplementation, enterprise","participation, user participation, user, garnering, postimplementation, enterprise, software, enterprise systems, considered, long considered"
6,3,3,6.3,6.3.3,1,"resource, mechanism, allocation, known user, jatsp examine, management user","resource, mechanism, allocation, known user, jatsp examine, management user, intrafirm, negative externalities, department management, problem"
6,4,0,6.4,6.4.0,135,"information, systems, information systems, research, paper, organizations","information, systems, information systems, research, paper, organizations, organizational, management, study, planning"
6,4,1,6.4,6.4.1,10,"outsourcing, outsourcing success, success, cost, systemic, functions","outsourcing, outsourcing success, success, cost, systemic, functions, local, outsourcing decision, outsourcing decisions, contingency"
6,4,2,6.4,6.4.2,24,"dss, group, meeting, support, decision, gss","dss, group, meeting, support, decision, gss, decision support, groups, meetings, support systems"
6,4,3,6.4,6.4.3,12,"groups, adoption, tag, adopt technologies, technology, adopt","groups, adoption, tag, adopt technologies, technology, adopt, technology adoption, technologies, draw existing, conceptualize model"
6,5,0,6.5,6.5.0,5,"edi, data interchange, interchange, electronic data, electronic, interchange edi","edi, data interchange, interchange, electronic data, electronic, interchange edi, inventory, continuous, edi use, adopters"
6,5,1,6.5,6.5.1,3,"integration, patterns, project management, planning, management, pattern","integration, patterns, project management, planning, management, pattern, internal, socio technical, contingency, project"
6,5,2,6.5,6.5.2,2,"interorganizational, process innovations, interorganizational systems, ios, standards, edi","interorganizational, process innovations, interorganizational systems, ios, standards, edi, network effects, network, benefits, innovations"
6,5,3,6.5,6.5.3,1,"electronic integration, contextual factors, electronic, fit, integration, channel","electronic integration, contextual factors, electronic, fit, integration, channel, contextual, factors, multivariate, congruence"
7,0,0,7.0,7.0.0,3,"usage, bda, sns, discontinuous, usage intentions, exhaustion","usage, bda, sns, discontinuous, usage intentions, exhaustion, researchers, stress, measures, creators"
7,0,1,7.0,7.0.1,4,"perceived, usefulness, perceived usefulness, ease use, ease, usage","perceived, usefulness, perceived usefulness, ease use, ease, usage, personal computing, contextspecific, acceptance, small firms"
7,0,2,7.0,7.0.2,1,"punishment, justice, compliance, compliance intention, perceived, mandatory","punishment, justice, compliance, compliance intention, perceived, mandatory, intention, actual, influenced, settings"
7,0,3,7.0,7.0.3,2,"usage, usage behavior, behavior, volitional, commitment, behavioral","usage, usage behavior, behavior, volitional, commitment, behavioral, tpb, habits, conscious, extended use"
7,1,0,7.1,7.1.0,14,"use, motivation, users, intrinsic motivation, intrinsic, exploration","use, motivation, users, intrinsic motivation, intrinsic, exploration, organizational, features, employees, model"
7,1,1,7.1,7.1.1,8,"theory, theories, pluralist, effective use, research, generalization","theory, theories, pluralist, effective use, research, generalization, theory explaining, nature, explaining, essay"
7,1,2,7.1,7.1.2,10,"erp, assimilation, implementation, systems, enterprise, model","erp, assimilation, implementation, systems, enterprise, model, information, pressures, architecture, resources"
7,1,3,7.1,7.1.3,3,"paradigm, kuhn, dominant, innovative, research, concept","paradigm, kuhn, dominant, innovative, research, concept, information sharing, transformative, epistemological, structures"
7,2,0,7.2,7.2.0,5,"adoption, social influence, technology, technology adoption, influence, expectancy","adoption, social influence, technology, technology adoption, influence, expectancy, performance expectancy, ecommerce, collaboration technology, attraction"
7,2,1,7.2,7.2.1,8,"beliefs, technology use, technology, individual, exchange, profound impact","beliefs, technology use, technology, individual, exchange, profound impact, factors, privacy, use, influences"
